iter	Passed	Remaining
0	91	91377
1	127	63477
2	169	56241
3	211	52697
4	250	49855
5	289	48033
6	328	46651
7	370	45951
8	414	45641
9	455	45054
10	495	44587
11	536	44162
12	584	44388
13	627	44219
14	669	43950
15	709	43613
16	753	43552
17	803	43856
18	846	43712
19	886	43461
20	930	43365
21	971	43178
22	1010	42937
23	1055	42934
24	1095	42719
25	1135	42540
26	1176	42387
27	1220	42354
28	1264	42332
29	1305	42216
30	1345	42068
31	1386	41955
32	1426	41791
33	1474	41892
34	1515	41776
35	1555	41639
36	1595	41532
37	1639	41495
38	1685	41520
39	1725	41414
40	1768	41368
41	1808	41240
42	1852	41234
43	1899	41276
44	1940	41173
45	1979	41051
46	2018	40926
47	2061	40883
48	2107	40900
49	2148	40822
50	2186	40689
51	2225	40579
52	2270	40566
53	2313	40521
54	2351	40397
55	2392	40325
56	2433	40253
57	2472	40151
58	2514	40107
59	2554	40014
60	2593	39928
61	2631	39816
62	2669	39707
63	2718	39763
64	2759	39695
65	2799	39620
66	2841	39566
67	2886	39556
68	2931	39553
69	2974	39520
70	3015	39449
71	3054	39363
72	3097	39338
73	3140	39296
74	3180	39232
75	3220	39157
76	3260	39083
77	3300	39009
78	3346	39019
79	3389	38977
80	3428	38893
81	3469	38836
82	3515	38837
83	3557	38789
84	3597	38730
85	3638	38668
86	3680	38622
87	3724	38595
88	3768	38570
89	3810	38526
90	3850	38459
91	3891	38407
92	3930	38330
93	3974	38312
94	4016	38260
95	4056	38197
96	4096	38136
97	4140	38112
98	4183	38076
99	4222	38002
100	4261	37931
101	4300	37859
102	4340	37796
103	4387	37803
104	4426	37732
105	4466	37671
106	4505	37602
107	4543	37529
108	4592	37541
109	4637	37524
110	4680	37482
111	4720	37426
112	4769	37435
113	4809	37376
114	4852	37341
115	4892	37285
116	4931	37220
117	4971	37162
118	5016	37140
119	5057	37089
120	5096	37023
121	5134	36953
122	5172	36882
123	5213	36831
124	5253	36772
125	5292	36713
126	5332	36654
127	5371	36595
128	5414	36556
129	5453	36498
130	5492	36434
131	5532	36379
132	5571	36317
133	5615	36291
134	5656	36240
135	5695	36184
136	5734	36123
137	5776	36079
138	5815	36025
139	5855	35967
140	5894	35913
141	5934	35858
142	5980	35843
143	6021	35796
144	6061	35740
145	6099	35676
146	6138	35621
147	6176	35558
148	6217	35508
149	6258	35465
150	6299	35417
151	6340	35372
152	6378	35310
153	6420	35271
154	6460	35222
155	6499	35161
156	6540	35120
157	6580	35068
158	6626	35050
159	6666	34999
160	6704	34937
161	6741	34873
162	6781	34820
163	6825	34795
164	6865	34743
165	6905	34693
166	6944	34638
167	6982	34577
168	7023	34534
169	7060	34472
170	7100	34423
171	7139	34369
172	7177	34309
173	7218	34268
174	7259	34221
175	7297	34167
176	7336	34113
177	7373	34050
178	7414	34006
179	7453	33954
180	7496	33920
181	7536	33870
182	7579	33840
183	7620	33795
184	7660	33746
185	7699	33696
186	7737	33641
187	7775	33584
188	7819	33553
189	7862	33518
190	7903	33478
191	7943	33427
192	7982	33375
193	8024	33340
194	8063	33288
195	8101	33232
196	8137	33169
197	8174	33110
198	8215	33067
199	8256	33025
200	8296	32979
201	8337	32936
202	8376	32887
203	8422	32865
204	8464	32824
205	8501	32767
206	8540	32718
207	8590	32709
208	8630	32663
209	8667	32607
210	8705	32553
211	8743	32500
212	8783	32454
213	8825	32414
214	8866	32372
215	8905	32322
216	8945	32278
217	8987	32238
218	9028	32195
219	9067	32150
220	9107	32103
221	9147	32056
222	9186	32010
223	9231	31979
224	9271	31934
225	9312	31893
226	9349	31838
227	9387	31786
228	9430	31752
229	9470	31705
230	9508	31653
231	9548	31608
232	9586	31558
233	9630	31527
234	9676	31500
235	9715	31450
236	9754	31402
237	9795	31361
238	9836	31320
239	9874	31270
